date_comptage,comptage_h
2019-07-08,49.97962962962963
2019-07-09,54.73518518518519
2019-07-10,54.93703703703704
2019-07-11,51.36944444444445
2019-07-12,48.648148148148145
2019-07-13,36.38981481481481
2019-07-14,31.278703703703705
2019-07-15,48.89351851851852
2019-07-16,53.352777777777774
2019-07-17,53.443518518518516
2019-07-18,50.06111111111111
2019-07-19,47.178703703703704
2019-07-20,32.891666666666666
2019-07-21,34.474074074074075
2019-07-22,45.76759259259259
2019-07-23,46.25092592592593
2019-07-24,43.11296296296296
2019-07-25,36.99351851851852
2019-07-26,39.297222222222224
2019-07-27,24.139814814814816
2019-07-28,31.48611111111111
2019-07-29,42.95185185185185
2019-07-30,44.12129629629629
2019-07-31,44.95925925925926
2019-08-01,45.00185185185185
2019-08-02,39.79537037037037
